time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-10-11T07:53:25.110Z,0.1482,98.6422,54.673,4.9,mb,44.0,171.0,1.567,0.64,us,us6000isnr,2022-10-11T08:15:55.040Z,"153 km SSW of Padangsidempuan, Indonesia",earthquake,8.32,7.794,0.097,33.0,reviewed,us,us
2022-10-11T02:16:34.166Z,53.2185,-166.9259,51.26,4.7,mb,59.0,136.0,0.577,0.72,us,us6000islv,2022-10-11T21:33:26.040Z,"77 km SSW of Unalaska, Alaska",earthquake,4.7,6.337,0.059,89.0,reviewed,us,us
2022-10-10T23:23:05.972Z,37.0429,71.4357,107.034,5.1,mb,86.0,56.0,0.692,0.8,us,us6000islc,2022-10-10T23:53:01.793Z,"38 km NNW of Ishqoshim, Tajikistan",earthquake,5.76,5.334,0.04,206.0,reviewed,us,us
2022-10-10T23:06:54.045Z,47.4273,152.2998,138.472,4.6,mb,54.0,135.0,6.519,0.88,us,us6000isle,2022-10-11T04:14:12.815Z,Kuril Islands,earthquake,11.59,7.917,0.065,71.0,reviewed,us,us
2022-10-10T23:03:35.597Z,3.6147,126.914,52.122,4.5,mb,26.0,112.0,8.4,0.53,us,us6000isla,2022-10-10T23:30:40.040Z,"241 km NNW of Tobelo, Indonesia",earthquake,12.89,8.692,0.104,27.0,reviewed,us,us
2022-10-10T22:51:12.449Z,-23.39,-68.3815,117.154,4.5,mwr,26.0,97.0,0.474,0.8,us,us6000isl5,2022-10-10T23:15:52.040Z,"56 km SSW of San Pedro de Atacama, Chile",earthquake,6.32,5.541,0.0,0.0,reviewed,us,guc
2022-10-10T19:24:40.384Z,23.9334,122.2898,17.901,5.7,mww,85.0,80.0,0.679,0.54,us,us6000isjn,2022-10-12T15:13:40.040Z,"69 km E of Hualien City, Taiwan",earthquake,3.17,3.928,0.089,12.0,reviewed,us,us
2022-10-10T17:55:10.416Z,-19.9555,-176.509,10.955,5.5,mww,30.0,146.0,5.599,1.14,us,us6000isj3,2022-10-12T03:24:35.195Z,"189 km NW of Nuku‘alofa, Tonga",earthquake,11.99,4.667,0.098,10.0,reviewed,us,us
2022-10-10T16:42:48.945Z,-7.4698,128.364,155.298,4.5,mb,37.0,48.0,2.953,0.37,us,us6000isik,2022-10-10T18:36:01.040Z,"190 km NE of Lospalos, Timor Leste",earthquake,6.68,8.981,0.106,28.0,reviewed,us,us
2022-10-10T16:09:31.617Z,-4.7849,153.5111,72.321,5.0,mb,51.0,95.0,7.796,0.4,us,us6000isic,2022-10-10T18:21:06.040Z,"146 km ESE of Kokopo, Papua New Guinea",earthquake,7.15,6.889,0.055,111.0,reviewed,us,us
2022-10-10T13:23:50.842Z,53.7716,-35.197,10.0,4.6,mb,93.0,137.0,9.219,0.42,us,us6000isi2,2022-10-10T15:29:41.040Z,Reykjanes Ridge,earthquake,6.09,1.896,0.053,111.0,reviewed,us,us
2022-10-10T13:23:03.412Z,51.4714,177.3649,38.34,4.2,mb,71.0,180.0,0.858,0.35,us,us6000isip,2022-10-10T17:57:53.040Z,"Rat Islands, Aleutian Islands, Alaska",earthquake,8.14,8.388,0.073,55.0,reviewed,us,us
2022-10-10T12:37:19.658Z,38.4928,45.0641,10.0,4.3,mb,53.0,49.0,1.586,0.56,us,us6000ishr,2022-10-10T13:06:48.040Z,"11 km ESE of Khowy, Iran",earthquake,4.33,1.897,0.089,36.0,reviewed,us,us
