Country / Territory,Disaster,Disaster Internal Displacements
"Taiwan, China",Flood,12300
"Taiwan, China",Storm,183327
Tajikistan,Earthquake,9680
Tajikistan,Flood,22682
Tanzania,Earthquake,10019
Tanzania,Flood,194800
Tanzania,Storm,39971
Thailand,Flood,3020929
Thailand,Storm,168126
Thailand,Wildfire,183
Timor-Leste,Earthquake,11
Timor-Leste,Flood,2411
Timor-Leste,Storm,16868
Timor-Leste,Wildfire,1841
Togo,Flood,57170
Tonga,Flood,17
Tonga,Storm,17100
Trinidad and Tobago,Flood,1080
Trinidad and Tobago,Storm,24
Trinidad and Tobago,Volcanic eruption,40
Tunisia,Earthquake,6
Tunisia,Flood,15508
Tunisia,Storm,16
Tunisia,Wildfire,2190
Turks and Caicos Islands,Storm,110
Tuvalu,Storm,5800
T�rkiye,Earthquake,291642
T�rkiye,Flood,25856
T�rkiye,Storm,14
T�rkiye,Wildfire,81750
Uganda,Earthquake,1100
Uganda,Flood,557203
Uganda,Storm,13963
Uganda,Wildfire,70
Ukraine,Flood,28540
Ukraine,Wildfire,1230
United Arab Emirates,Earthquake,40
United Arab Emirates,Flood,1560
United Arab Emirates,Storm,120
United Kingdom,Flood,34063
United Kingdom,Storm,17325
United Kingdom,Wildfire,380
United States,Earthquake,687
United States,Flood,535281
United States,Storm,7076595
United States,Volcanic eruption,2800
United States,Wildfire,2865953
Uruguay,Flood,71720
Uruguay,Storm,1105
Uruguay,Wildfire,902
Uzbekistan,Flood,70000
Vanuatu,Earthquake,11
Vanuatu,Flood,200
Vanuatu,Storm,150740
Vanuatu,Volcanic eruption,22918
Venezuela,Flood,221772
Viet Nam,Earthquake,68
Viet Nam,Flood,579695
Viet Nam,Storm,4509532
Viet Nam,Wildfire,720
Virgin Islands,Storm,2290
Yemen,Drought,30
Yemen,Earthquake,150
Yemen,Flood,417223
Yemen,Storm,101102
Zambia,Earthquake,54
Zambia,Flood,102308
Zambia,Storm,468
Zimbabwe,Flood,73383
Zimbabwe,Storm,60800
Zimbabwe,Wildfire,16
